Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62711,5XYKTCA12BG012592,45113B,"$14,995.00 ",2011,KIA,SORENTO,0,CONVERSION - DO NOT USE,6/20/2016 0:00,Used Vehicle,Cash,"$12,933.00 "
62670-6640,1C3CCCAB7FN709949,88536,"$15,741.00 ",2015,CHRYSLER,200,0,HEARTLAND,7/14/2016 0:00,Used Vehicle,Finance,"$13,212.00 "
62704,4S4BRCAC6B3360296,43561,"$22,999.00 ",2011,SUBARU,OUTBACK WAGON,0,CONVERSION - DO NOT USE,12/27/2010 0:00,New Vehicle,Cash,"$22,999.00 "
62703,3KPA24AB4JE066498,K29505T,"$15,934.00 ",2018,KIA,RIO,99998,1st MID AMERICA,7/2/2018 0:00,New Vehicle,Finance,"$14,199.00 "
62703,3C6UD5KL9CG128593,23219,"$52,000.00 ",2012,DODGE TRUCK,RAM 2500,100000,HEARTLAND,12/9/2011 0:00,New Vehicle,Finance,"$52,000.00 "
62568,2C3CDZAG0HH507770,29058,"$30,980.00 ",2017,DODGE,CHALLENGER (3.6L),0,CCAP AUTO LEASE LTD,4/19/2017 0:00,New Vehicle,Lease,"$30,221.00 "
62704,4A4AP3AUXEE030175,36621,"$19,999.00 ",2014,MITSUBISHI,OUTLANDER SPORT,0,HEARTLAND CREDIT UNION,7/26/2014 0:00,New Vehicle,Finance,"$19,999.00 "
62712,1C3CDFBA4DD150867,24143,"$20,000.00 ",2013,DODGE,DART (2.0L),0,CEFCU,11/9/2012 0:00,New Vehicle,Finance,"$20,000.00 "
62631,2D4RN5DX3AR290287,21289,"$31,475.00 ",2010,DODGE TRUCK,GRAND CARAVAN,75000,GM FINANCIAL,4/17/2010 0:00,New Vehicle,Finance,"$31,475.00 "
62650,KNDMB233866073524,K27733A,"$10,894.00 ",2006,KIA,SEDONA,0,CONVERSION - DO NOT USE,9/27/2012 0:00,Used Vehicle,Cash,"$10,894.00 "
62677,1C4RDJDG5EC978704,25797,"$44,375.00 ",2014,DODGE TRUCK,DURANGO,0,CONVERSION - DO NOT USE,11/1/2014 0:00,New Vehicle,Cash,"$44,375.00 "
65714-7682,KNDPBCA21D7358411,K27691,"$23,020.00 ",2013,KIA,SPORTAGE,0,BANK OF AMERICA,8/25/2012 0:00,New Vehicle,Finance,"$23,020.00 "
