Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62711,2A4GP54L77R107570,25464A,"$6,154.70 ",2007,CHRYSLER,TOWN & CTRY LWB,0,CONVERSION - DO NOT USE,6/20/2014 0:00,Used Vehicle,Cash,"$6,154.70 "
62629-8670,JF2SJAEC4EH426704,44067,"$27,014.00 ",2014,SUBARU,FORESTER 2.5I,0,CONVERSION - DO NOT USE,5/24/2013 0:00,Used Vehicle,Cash,"$27,014.00 "
62704-6468,5XYKT3A61EG446227,K27999,"$25,210.00 ",2014,KIA,SORENTO,100030,BANK OF THE WEST,7/9/2013 0:00,Used Vehicle,Finance,"$25,210.00 "
62711-6427,4S4BRCKC5C3225472,43753,"$28,700.00 ",2012,SUBARU,OUTBACK 2.5I,0,JP MORGAN CHASE BANK NA,11/12/2011 0:00,Used Vehicle,Finance,"$28,700.00 "
62340-2273,1C6RR7FG7JS191634,29634,"$38,364.00 ",2018,RAM,1500,75000,CHRYSLER CAPITAL,3/24/2018 0:00,New Vehicle,Finance,"$36,740.00 "
62629,2C4RDGBG0HR856656,29463,"$29,839.00 ",2017,DODGE,GRAND CARAVAN,75000,HEARTLAND CREDIT UNION,2/3/2018 0:00,New Vehicle,Finance,"$29,245.00 "
62539,JA32U1FU3AU015520,36017,"$17,999.00 ",2010,MITSUBISHI,LANCER,100000,PREMIER BANK OF JACKSONVILLE,12/11/2010 0:00,New Vehicle,Finance,"$17,999.00 "
62702-4310,1D3HV18T59S809298,20404,"$36,790.00 ",2009,DODGE TRUCK,RAM 1500,0,HEARTLAND CREDIT UNION,5/27/2009 0:00,New Vehicle,Finance,"$36,790.00 "
62711,4S4BRCJC1D3225987,44927A,"$24,483.00 ",2013,SUBARU,OUTBACK 2.5I,0,HEARTLAND CREDIT UNION,10/10/2015 0:00,Used Vehicle,Finance,"$24,483.00 "
62702-1923,4S4BRCAC4E3303308,44404,"$23,836.00 ",2014,SUBARU,OUTBACK 2.5I,0,JP MORGAN CHASE BANK NA,4/14/2014 0:00,Used Vehicle,Finance,"$23,836.00 "
62629-5021,5XYZG3AB4CG103389,K28972A,"$13,982.00 ",2012,HYUNDAI,SANTA FE,0,HEARTLAND CREDIT UNION,1/23/2016 0:00,Used Vehicle,Finance,"$13,982.00 "
62704,KNAGM4A78F5593850,K3331A,"$12,900.00 ",2015,KIA,OPTIMA,0,THE MORRIS PLAN,8/23/2019 0:00,Used Vehicle,Finance,"$12,900.00 "
62702-4436,2A4RR8DX1AR380969,25415A,"$20,317.00 ",2010,CHRYSLER,TOWN & COUNTRY (4.0L),89037,HEARTLAND,3/10/2014 0:00,Used Vehicle,Finance,"$20,317.00 "
62704-1565,2C4RDGEG7CR244426,30036B,"$10,990.00 ",2012,DODGE,GRAND CARAVAN,24000,THE MORRIS PLAN,8/6/2019 0:00,Used Vehicle,Finance,"$4,800.00 "
62629-8117,2C4RDGCG1ER459273,25723,"$31,474.00 ",2014,DODGE TRUCK,GRAND CARAVAN,0,CHRYSLER CAPITAL,8/5/2014 0:00,New Vehicle,Finance,"$31,474.00 "
62536,JF2GPAKC5D2816365,5347A,"$16,990.00 ",2013,SUBARU,XV CROSSTREK,0,HEARTLAND CREDIT UNION,7/22/2019 0:00,Used Vehicle,Finance,"$14,439.00 "
62704,KNAFW6A36A5158820,K25096,"$20,090.00 ",2010,KIA,FORTE,100000,CONVERSION - DO NOT USE,4/24/2010 0:00,New Vehicle,Finance,"$20,090.00 "
62684,5XYPH4A58KG460223,K20013,"$36,834.00 ",2019,KIA,SORENTO,75000,CEFCU,8/27/2018 0:00,New Vehicle,Finance,"$35,236.00 "
62703-3146,ZACCJABB0HPE67617,5401A,"$19,990.00 ",2017,JEEP,RENEGADE,60000,CEFCU,8/24/2019 0:00,Used Vehicle,Finance,"$17,952.00 "
62615-9340,3C4PDCAB9JT443918,29928,"$24,984.00 ",2018,DODGE,JOURNEY (2.4L),75000,CEFCU,9/15/2018 0:00,New Vehicle,Finance,"$24,766.00 "
62650-1757,JF2SJAMC5EH530250,44295,"$31,790.00 ",2014,SUBARU,FORESTER 2.5I,0,CONVERSION - DO NOT USE,1/21/2014 0:00,Used Vehicle,Finance,"$29,000.00 "
62521-4965,3C6TR5DT4DG612344,27938AA,"$32,786.00 ",2013,RAM,RAM 2500,0,CEFCU,8/13/2016 0:00,New Vehicle,Finance,"$32,786.00 "
62558,3KPF24AD0LE176605,K1061,"$20,634.00 ",2020,KIA,FORTE,75000,KIA MOTORS FINANCE,11/27/2019 0:00,New Vehicle,Finance,"$19,795.00 "
62702-4740,4S4BRCJC7D3276233,44913A,"$23,001.57 ",2013,SUBARU,OUTBACK 2.5I,0,CONVERSION - DO NOT USE,9/5/2015 0:00,Used Vehicle,Cash,"$23,001.57 "
62563-9245,5XYPKDA51HG310285,K29275T,"$42,015.00 ",2017,KIA,SORENTO,0,,7/17/2017 0:00,Used Vehicle,Cash,"$36,758.00 "
62711-9265,1J4FT28B29D122538,99496,"$14,895.00 ",2009,JEEP,PATRIOT,0,CONVERSION - DO NOT USE,11/21/2009 0:00,Used Vehicle,Cash,"$14,895.00 "
62704-4169,1C6RR7GG5JS155603,88986,"$26,990.00 ",2018,RAM,1500,75000,CEFCU,11/23/2018 0:00,Used Vehicle,Finance,"$25,994.00 "
62704,JF2SKAPC9KH545354,5371,"$32,810.00 ",2019,SUBARU,FORESTER,75000,ILLINOIS EDUCATORS CREDIT UNION,7/12/2019 0:00,New Vehicle,Finance,"$30,793.00 "
62563,KNAFW4A36A5125188,K28557A,"$10,258.00 ",2010,KIA,FORTE,0,JP MORGAN CHASE BANK NA,6/10/2015 0:00,New Vehicle,Finance,"$10,258.00 "
62791-9242,1C6RR7FT4ES375299,25657,"$37,214.00 ",2014,DODGE TRUCK,RAM 1500,0,CHRYSLER CAPITAL,10/15/2014 0:00,New Vehicle,Finance,"$37,214.00 "
62702-4121,1D7RB1GP4AS196322,21359,"$28,225.00 ",2010,DODGE TRUCK,RAM 1500,0,GM FINANCIAL,5/29/2010 0:00,New Vehicle,Finance,"$28,225.00 "
62703,KNDJN2A22H7421061,K29225,"$18,665.00 ",2017,KIA,SOUL,75000,KIA MOTORS FINANCE,5/31/2017 0:00,New Vehicle,Finance,"$18,665.00 "
62704-1241,4S4BRCCC7A3313516,43011,"$27,050.00 ",2010,SUBARU,OUTBACK 2.5I,80000,HEARTLAND CREDIT UNION,8/21/2009 0:00,Used Vehicle,Finance,"$27,050.00 "
62704,5J6RM4H59GL021158,89112,"$18,100.00 ",2016,HONDA,CR-V,0,,5/31/2019 0:00,Used Vehicle,Cash,"$19,800.00 "
62557-6641,4S4BSACC3H3326007,45531,"$28,927.00 ",2017,SUBARU,OUTBACK,125000,JP MORGAN CHASE BANK NA,1/23/2017 0:00,Used Vehicle,Finance,"$27,999.00 "
62615,3C4PDCAB3CT143648,23004,"$21,499.92 ",2012,DODGE TRUCK,JOURNEY,0,CONVERSION - DO NOT USE,9/3/2011 0:00,New Vehicle,Cash,"$21,499.92 "
62650,JF2SJADC8FH598821,44768,"$26,319.00 ",2015,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,5/5/2015 0:00,New Vehicle,Finance,"$26,319.00 "
62711-9275,JF2GPAKC0G8237026,45095,"$26,084.00 ",2016,SUBARU,CROSSTREK,0,JP MORGAN CHASE BANK NA,1/27/2016 0:00,Used Vehicle,Finance,"$26,084.00 "
62629-5013,JF2SH6DC7AH784786,43125,"$26,000.00 ",2010,SUBARU,FORESTER 2.5X,0,CONVERSION - DO NOT USE,4/24/2010 0:00,Used Vehicle,Cash,"$26,000.00 "
62558-9177,2C3CDZFJXJH204960,29626,"$46,514.00 ",2018,DODGE,CHALLENGER,75000,ALLY FINANCIAL,10/6/2018 0:00,New Vehicle,Finance,"$43,263.00 "
62694,5XYKT3A60DG323761,K29006A,"$15,500.00 ",2013,KIA,SORENTO,0,PNC BANK NA,1/16/2016 0:00,New Vehicle,Finance,"$15,500.00 "
62363,KNDMC5C15F6060713,K28699,"$32,892.00 ",2015,KIA,SEDONA,0,KIA MOTORS FINANCE,10/6/2015 0:00,New Vehicle,Finance,"$32,892.00 "
62711,1C6RR7LT8JS126437,29503,"$50,483.00 ",2018,RAM,1500 (5.7L),0,,6/20/2018 0:00,New Vehicle,Cash,"$50,483.00 "
62675-1534,3C4PDCAB9ET304006,25590,"$20,400.00 ",2014,DODGE TRUCK,JOURNEY,0,CHRYSLER CAPITAL,7/7/2014 0:00,New Vehicle,Finance,"$20,400.00 "
62704-5903,1D4PU5GK6AW134732,88221,"$17,360.00 ",2010,DODGE TRUCK,NITRO,78694,JP MORGAN CHASE BANK NA,10/25/2014 0:00,New Vehicle,Finance,"$17,360.00 "
62704,5XXGT4L31KG357241,K3210,"$24,644.00 ",2019,KIA,OPTIMA,0,KIA MOTORS FINANCE,9/12/2019 0:00,New Vehicle,Finance,"$34,644.00 "
62711-6209,1C6RR7NTXJS131135,29528,"$50,989.00 ",2018,RAM,1500 (5.7L),75000,CEFCU,12/30/2017 0:00,New Vehicle,Finance,"$46,831.00 "
62526-9403,3D73Y4HL0BG603028,23782A,"$47,856.00 ",2011,DODGE TRUCK,RAM 3500,0,CONVERSION - DO NOT USE,12/3/2012 0:00,New Vehicle,Finance,"$47,856.00 "
62703,1N4AL3AP7FC135420,88756,"$11,625.00 ",2015,NISSAN,ALTIMA,24000,PRESTIGE FINANCIAL SERVICES INC,9/25/2017 0:00,Used Vehicle,Finance,"$11,625.00 "
62618,5XXGR4A69DG099629,K27620,"$35,570.00 ",2013,KIA,OPTIMA,0,US BANK NA,8/13/2012 0:00,New Vehicle,Finance,"$35,570.00 "
62703,KNAGE228595286584,K3139A,"$8,990.00 ",2009,KIA,OPTIMA,0,CEFCU,2/9/2019 0:00,Used Vehicle,Finance,"$6,382.00 "
62682,1C6RR7LT4ES132354,29300A,"$30,990.00 ",2014,DODGE TRUCK,RAM 1500,36000,CEFCU,12/2/2017 0:00,Used Vehicle,Finance,"$29,232.00 "
62624-4074,4S4BSETC9H3286653,45435,"$39,358.00 ",2017,SUBARU,OUTBACK,100000,JP MORGAN CHASE BANK NA,11/2/2016 0:00,Used Vehicle,Finance,"$39,358.00 "
45701,KNDMB5C14K6515077,K3116,"$34,724.00 ",2019,KIA,SEDONA,0,CEFCU,12/29/2018 0:00,New Vehicle,Finance,"$34,724.00 "
62702,KNDJP3A57J7508079,89076,"$16,990.00 ",2018,KIA,SOUL,75000,HEARTLAND CREDIT UNION,4/17/2019 0:00,Used Vehicle,Finance,"$16,990.00 "
62702-4811,JF2SJAHCXFH405756,44388,"$28,405.00 ",2015,SUBARU,FORESTER,100000,CEFCU,4/5/2014 0:00,Used Vehicle,Finance,"$28,405.00 "
62712,1N4AL3AP7HC213813,88953,"$18,990.00 ",2017,NISSAN,ALTIMA,75000,CEFCU,9/24/2018 0:00,Used Vehicle,Finance,"$17,816.00 "
62684-9707,1C3CDZAB3DN637743,24325,"$20,585.00 ",2013,DODGE,AVENGER (2.4L),75000,BMO HARRIS BANK NA,4/5/2013 0:00,New Vehicle,Finance,"$20,585.00 "
62704-6399,JF2SJAPC2EH424088,44081,"$34,483.00 ",2014,SUBARU,FORESTER 2.5I,75225,CONVERSION - DO NOT USE,5/21/2013 0:00,Used Vehicle,Cash,"$34,483.00 "
62703-5122,4A3AB36FX9E009538,99320,"$14,990.00 ",2009,MITSUBISHI,GALANT,0,CONVERSION - DO NOT USE,1/16/2009 0:00,Used Vehicle,Finance,"$14,990.00 "
62561-8109,5XYPG4A36HG258474,K29208,"$31,200.00 ",2017,KIA,SORENTO,100000,KIA MOTORS FINANCE,12/29/2016 0:00,Used Vehicle,Finance,"$30,000.00 "
62675-7111,JF2SKAEC5KH462698,5220,"$29,246.00 ",2019,SUBARU,FORESTER,75000,HEARTLAND CREDIT UNION,4/16/2019 0:00,New Vehicle,Finance,"$27,436.00 "
62703,1GKS2CKJ5HR335664,2282A,"$51,990.00 ",2017,GMC,YUKON,0,HEARTLAND CREDIT UNION,10/28/2019 0:00,Used Vehicle,Finance,"$47,500.00 "
62711,4S4WMABD7K3434093,5038,"$36,440.00 ",2019,SUBARU,ASCENT,0,JP Morgan Chase,5/6/2019 0:00,New Vehicle,Lease,"$32,800.00 "
34952,3C4PDCBB3ET134871,29649B,"$12,990.00 ",2014,DODGE,JOURNEY (2.4L),36000,CHRYSLER CAPITAL,6/13/2018 0:00,Used Vehicle,Finance,"$11,487.00 "
62558,JF2GTACC5K8254617,5063,"$25,535.00 ",2019,SUBARU,CROSSTREK,100000,CEFCU,1/22/2019 0:00,Used Vehicle,Finance,"$23,999.00 "
62629,JTEBU5JR0G5383955,5185A,"$37,990.00 ",2016,TOYOTA,4RUNNER,75000,HEARTLAND CREDIT UNION,3/30/2019 0:00,Used Vehicle,Finance,"$36,704.00 "
62702-2045,2B3CJ5DT3AH200266,21495,"$32,363.00 ",2010,DODGE,CHALLENGER,0,US BANK NA,7/31/2010 0:00,New Vehicle,Finance,"$32,363.00 "
62629,JF2SKAPC3KH460560,5130,"$32,810.00 ",2019,SUBARU,FORESTER,0,JP Morgan Chase,1/30/2019 0:00,New Vehicle,Lease,"$30,100.00 "
62711-9296,1B3HB48A29D116891,20128,"$18,830.00 ",2009,DODGE,CALIBER,0,HEARTLAND CREDIT UNION,9/15/2008 0:00,New Vehicle,Finance,"$18,830.00 "
62049-1659,KNDPM3ACXH7137169,K29156,"$24,140.00 ",2017,KIA,SPORTAGE,0,KIA MOTORS FINANCE,7/29/2016 0:00,Used Vehicle,Finance,"$24,140.00 "
62561,1C6RD7LT0CS284112,2125B,"$20,990.00 ",2012,RAM,1500 (5.7L),0,HEARTLAND CREDIT UNION,3/12/2019 0:00,Used Vehicle,Finance,"$20,990.00 "
62650,JF2SJAMC6EH440377,45978A,"$19,990.00 ",2014,SUBARU,FORESTER 2.5I,36000,HEARTLAND CREDIT UNION,1/13/2018 0:00,Used Vehicle,Finance,"$17,999.00 "
62702,JF2SJABC2FH533434,44641,"$23,000.00 ",2015,SUBARU,FORESTER,0,CONVERSION - DO NOT USE,12/6/2014 0:00,New Vehicle,Cash,"$23,000.00 "
62711,JF2GTAEC4K8208001,5042,"$27,368.00 ",2019,SUBARU,CROSSTREK,75000,,11/7/2018 0:00,New Vehicle,Cash,"$26,094.00 "
62703,KNAGM4A71B5190674,K26057,"$21,199.00 ",2011,KIA,OPTIMA,100000,US BANK NA,10/19/2011 0:00,New Vehicle,Finance,"$21,199.00 "
62702-2049,KNDJP3A58E7024153,K28332,"$19,110.00 ",2014,KIA,SOUL,100017,US BANK NA,2/12/2014 0:00,Used Vehicle,Finance,"$19,110.00 "
62629-1282,1C6RD7FT3CS308513,23640,"$38,740.00 ",2012,DODGE TRUCK,RAM 1500,0,CONVERSION - DO NOT USE,12/31/2012 0:00,New Vehicle,Cash,"$38,740.00 "
62702-6260,1C4RDJDG4JC455667,89196,"$33,399.00 ",2018,DODGE,DURANGO (3.6L),75000,CHRYSLER CAPITAL,8/22/2019 0:00,Used Vehicle,Finance,"$33,399.00 "
62702,KNALD225695171855,K24075,"$32,430.00 ",2009,KIA,AMANTI,100000,HYUNDAI MOTOR FINANCE,6/10/2010 0:00,New Vehicle,Finance,"$32,430.00 "
62704,JF2SJAEC1EH498816,44208,"$25,000.00 ",2014,SUBARU,FORESTER,0,CONVERSION - DO NOT USE,11/14/2013 0:00,New Vehicle,Cash,"$25,000.00 "
62707-8483,1C6SRFJT8KN506084,20004,"$51,125.00 ",2019,RAM,1500 (5.7L),0,,6/2/2018 0:00,New Vehicle,Cash,"$48,336.00 "
62704,4S4BSATC4J3249010,45991,"$38,855.00 ",2018,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,12/27/2017 0:00,Used Vehicle,Finance,"$37,606.00 "
62650-2030,5XXGT4L32JG268700,K29663,"$23,879.00 ",2018,KIA,OPTIMA,0,,7/31/2018 0:00,Used Vehicle,Cash,"$23,057.00 "
62644,4S4WMARD6K3469777,5256,"$46,852.00 ",2019,SUBARU,ASCENT,75000,CEFCU,4/22/2019 0:00,New Vehicle,Finance,"$43,807.00 "
62702,3C6RR7LT4JG135675,2012A,"$49,863.00 ",2018,RAM,1500 (5.7L),100000,HEARTLAND,7/8/2019 0:00,Used Vehicle,Finance,"$34,205.00 "
62707,4S4WMALD4K3408551,4006,"$43,555.00 ",2019,SUBARU,ASCENT,0,,8/4/2018 0:00,New Vehicle,Cash,"$41,457.00 "
62049,5XYKT4A67CG195975,K27014,"$26,525.00 ",2012,KIA,SORENTO,0,US BANK NA,7/30/2011 0:00,New Vehicle,Finance,"$26,525.00 "
62711-6767,4S4BSETC3J3210948,45798,"$40,595.00 ",2018,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,8/24/2017 0:00,Used Vehicle,Finance,"$38,355.00 "
62711,3C6JR7DT8EG209214,25394,"$31,545.00 ",2014,RAM,1500 (5.7L),0,CONVERSION - DO NOT USE,3/31/2014 0:00,New Vehicle,Cash,"$31,545.00 "
62704-2117,1C6SRFBT7KN646769,2048,"$45,550.00 ",2019,RAM,1500 (5.7L),0,CCAP AUTO LEASE LTD,4/27/2019 0:00,New Vehicle,Lease,"$43,138.00 "
62561-9629,1B3HB48C29D116892,20137,"$17,905.00 ",2009,DODGE,CALIBER,0,CONVERSION - DO NOT USE,7/29/2009 0:00,New Vehicle,Cash,"$17,905.00 "
62704-2918,KNAGT4L3XH5150910,K29290T,"$23,494.00 ",2017,KIA,OPTIMA,75000,ALLY FINANCIAL,4/18/2017 0:00,Used Vehicle,Finance,"$20,264.00 "
62650,1C6RR7YG1HS594631,29067,"$49,560.00 ",2017,RAM,1500,70000,CHRYSLER CAPITAL,8/26/2017 0:00,New Vehicle,Finance,"$49,560.00 "
62025-3180,4S4BSACC0H3258734,45444,"$28,570.00 ",2017,SUBARU,OUTBACK,100000,JP MORGAN CHASE BANK NA,10/27/2016 0:00,Used Vehicle,Finance,"$27,531.00 "
62670-6614,JF2SJAFCXFH524975,44633,"$28,039.00 ",2015,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,12/13/2014 0:00,Used Vehicle,Finance,"$28,039.00 "
62640,4S4BRCLCXD3291709,5323A,"$19,990.00 ",2013,SUBARU,OUTBACK,0,,6/20/2019 0:00,Used Vehicle,Cash,"$18,455.00 "
61568,JF2SJAEC3JH453581,45830,"$28,404.00 ",2018,SUBARU,FORESTER,125000,CEFCU,12/19/2017 0:00,Used Vehicle,Finance,"$26,461.00 "
62703,5XXGR4A64DG111041,K3151A,"$12,990.00 ",2013,KIA,OPTIMA,75000,CEFCU,7/19/2019 0:00,Used Vehicle,Finance,"$10,411.00 "
62526-3414,5XYPG4A56KG473801,K3000,"$34,634.00 ",2019,KIA,SORENTO,0,,12/10/2018 0:00,New Vehicle,Cash,"$32,961.00 "
62629-1058,3KPF34AD9KE022499,K3059,"$22,529.00 ",2019,KIA,FORTE,75000,CEFCU,4/12/2019 0:00,New Vehicle,Finance,"$21,671.00 "
62702-1585,JF2SJAJC3HH510300,45511,"$31,359.00 ",2017,SUBARU,FORESTER,75000,JP MORGAN CHASE BANK NA,1/16/2017 0:00,Used Vehicle,Finance,"$29,817.00 "
62704-3322,4S4BSENC8H3261532,45398,"$38,739.00 ",2017,SUBARU,OUTBACK,0,,10/28/2016 0:00,Used Vehicle,Cash,"$35,335.00 "
62703-5236,3C4PDCAB4DT577448,24182,"$21,774.00 ",2013,DODGE TRUCK,JOURNEY,0,US BANK NA,11/26/2012 0:00,New Vehicle,Finance,"$21,774.00 "
62703,4S4BSBDCXF3250092,44620,"$29,624.00 ",2015,SUBARU,OUTBACK WAGON,75005,US BANK NA,11/5/2014 0:00,New Vehicle,Finance,"$29,624.00 "
62613-9536,1C6RR7LTXHS721140,29264,"$51,844.00 ",2017,RAM,1500,0,CEFCU,9/30/2017 0:00,New Vehicle,Finance,"$49,490.00 "
62704-1072,2C3CDZBG6FH705569,29178A,"$20,990.00 ",2015,DODGE,CHALLENGER (3.6L),36000,CEFCU,1/16/2018 0:00,Used Vehicle,Finance,"$19,200.00 "
62692-1035,4S4BSBFCXF3361089,44840,"$29,660.00 ",2015,SUBARU,OUTBACK,75000,CONVERSION - DO NOT USE,7/7/2015 0:00,Used Vehicle,Cash,"$29,660.00 "
62650,JF1GPAL63DH838066,44463A,"$19,695.00 ",2013,SUBARU,IMPREZA WAGON,0,CONVERSION - DO NOT USE,7/5/2014 0:00,New Vehicle,Cash,"$19,695.00 "
62650-2133,JF2SHBBC0CH431725,43809,"$23,360.00 ",2012,SUBARU,FORESTER 2.5X,75000,JP MORGAN CHASE BANK NA,3/6/2012 0:00,Used Vehicle,Finance,"$23,360.00 "
62703,3C6TR5CT4EG126183,25438A,"$35,861.00 ",2014,RAM,RAM 2500,75000,CEFCU,6/9/2014 0:00,New Vehicle,Finance,"$35,861.00 "
62016-1019,KNDJN2A20F7225360,K28872,"$18,265.00 ",2015,KIA,SOUL,100010,KIA MOTORS FINANCE,7/28/2015 0:00,New Vehicle,Finance,"$18,265.00 "
62563,4S4BSBNC8F3299435,44721,"$35,073.00 ",2015,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,2/19/2015 0:00,Used Vehicle,Finance,"$35,073.00 "
62702,1C6RR7FG4JS337584,29986,"$42,699.00 ",2018,RAM,1500,75000,CEFCU,12/31/2018 0:00,New Vehicle,Finance,"$41,546.00 "
62704,JF2SKASC4KH519686,5272,"$32,859.00 ",2019,SUBARU,FORESTER,75000,PNC BANK NA,4/22/2019 0:00,New Vehicle,Finance,"$30,734.00 "
62704-3438,JF2GTAMC8J8260893,46009,"$31,728.00 ",2018,SUBARU,CROSSTREK,75000,HEARTLAND CREDIT UNION,1/20/2018 0:00,Used Vehicle,Finance,"$30,656.00 "
62711-6219,JF2SJAWC3FH560720,44715,"$31,256.00 ",2015,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,3/7/2015 0:00,Used Vehicle,Finance,"$31,256.00 "
62711-6195,2C4RDGEG9HR593787,88671,"$26,990.00 ",2017,DODGE,GRAND CARAVAN (3.6L),36000,CEFCU,6/29/2017 0:00,Used Vehicle,Finance,"$23,000.00 "
62016,2C4RDGEG1JR344339,89291,"$20,990.00 ",2018,DODGE,GRAND CARAVAN,75000,1st MID AMERICA,1/18/2020 0:00,Used Vehicle,Finance,"$17,757.00 "
62650,2C3CDXHG5CH271510,23505,"$30,910.00 ",2012,DODGE,CHARGER,75014,CONVERSION - DO NOT USE,7/2/2012 0:00,New Vehicle,Cash,"$30,910.00 "
62711,JF2SJAWC5JH556323,46160,"$35,506.00 ",2018,SUBARU,FORESTER,0,,6/19/2018 0:00,New Vehicle,Cash,"$32,821.00 "
62629,1C4RDJEG6HC719867,88699,"$43,990.00 ",2017,DODGE,DURANGO,75000,ALLY FINANCIAL,8/19/2017 0:00,Used Vehicle,Finance,"$39,117.00 "
62707-4603,1C6RR7GT6HS652196,88755,"$29,990.00 ",2017,RAM,1500,75000,,11/17/2017 0:00,Used Vehicle,Cash,"$29,200.00 "
62704,JA4AP3AU8GZ064533,K3121A,"$15,990.00 ",2016,MITSUBISHI,OUTLANDER SPORT,0,ALLY FINANCIAL,4/26/2019 0:00,Used Vehicle,Finance,"$14,911.00 "
62704,5XYKU4A62DG353427,K27633,"$29,740.00 ",2013,KIA,SORENTO,100019,WELLS FARGO DEALER SERVICES,7/28/2012 0:00,New Vehicle,Finance,"$29,740.00 "
62615,1N6AD0EV4EN711592,89016,"$19,990.00 ",2014,NISSAN,FRONTIER,60000,CEFCU,1/19/2019 0:00,Used Vehicle,Finance,"$19,990.00 "
62650,KNDJP3A51J7562803,K29680,"$21,720.00 ",2018,KIA,SOUL,0,,7/27/2018 0:00,New Vehicle,Cash,"$20,390.00 "
62707-2657,KNDJN2A23H7882320,K29355,"$18,989.00 ",2017,KIA,SOUL,75000,KIA MOTORS FINANCE,5/26/2017 0:00,Used Vehicle,Finance,"$18,989.00 "
62629-9796,1C4BJWEG4CL160836,29410A,"$28,000.00 ",2012,JEEP,WRANGLER UNLIMITED,100000,1st MID AMERICA,11/13/2017 0:00,Used Vehicle,Finance,"$28,000.00 "
62684-9513,1C6RR7LM4GS351634,29651A,"$35,990.00 ",2016,RAM,1500 DIESEL (3.0L),0,HEARTLAND CREDIT UNION,4/9/2018 0:00,Used Vehicle,Finance,"$32,300.00 "
62613-9394,2C4RDGBG3GR383091,27962,"$24,590.00 ",2016,DODGE,GRAND CARAVAN (3.6L),0,1st MID AMERICA,9/7/2016 0:00,New Vehicle,Finance,"$24,419.00 "
62650-1202,KNDCC3LC5K5222809,K3093,"$29,929.00 ",2019,KIA,NIRO,75000,KIA MOTORS FINANCE,12/14/2018 0:00,New Vehicle,Finance,"$28,898.00 "
62092,JF2SJADC7GH512576,45103,"$27,827.00 ",2016,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,2/17/2016 0:00,New Vehicle,Finance,"$27,827.00 "
62513-8640,5XYPHDA18HG189945,K29086,"$35,517.00 ",2017,KIA,SORENTO,0,KIA MOTORS FINANCE,6/9/2016 0:00,Used Vehicle,Finance,"$35,517.00 "
62707,JF2SJARCXFH538662,44664,"$31,140.00 ",2015,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,1/22/2015 0:00,New Vehicle,Finance,"$31,140.00 "
62661,1C6RR7GT1GS122975,28038,"$46,030.00 ",2016,RAM,1500 (5.7L),0,CEFCU,9/17/2016 0:00,New Vehicle,Finance,"$46,030.00 "
62703-3501,1C6SRFLT2KN675448,2102,"$57,955.00 ",2019,RAM,1500 (5.7L),75000,HEARTLAND CREDIT UNION,10/20/2018 0:00,New Vehicle,Finance,"$54,208.00 "
61401,3C4PDCAB3JT242483,29701,"$24,034.00 ",2018,DODGE,JOURNEY,70000,CEFCU,3/31/2018 0:00,New Vehicle,Finance,"$23,990.00 "
62704-4127,2C4RDGBG9HR856946,29472,"$29,839.00 ",2017,DODGE,GRAND CARAVAN (3.6L),0,,10/30/2017 0:00,New Vehicle,Cash,"$28,948.00 "
62521-5407,4S3GTAD62H3707735,45573,"$26,958.00 ",2017,SUBARU,IMPREZA,0,JP Morgan Chase,5/4/2017 0:00,Used Vehicle,Lease,"$24,830.00 "
62704-4802,4S4BSANC1J3397788,46289,"$36,540.00 ",2018,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,8/21/2018 0:00,New Vehicle,Finance,"$35,590.00 "
62615-1145,KM8JU3AC3CU500181,27614A,"$13,260.49 ",2012,HYUNDAI,TUCSON,0,HEARTLAND CREDIT UNION,2/20/2016 0:00,Used Vehicle,Finance,"$13,260.49 "
62711,4S4WMAFD7K3437716,5075,"$37,201.00 ",2019,SUBARU,ASCENT,75000,JP MORGAN CHASE BANK NA,11/24/2018 0:00,New Vehicle,Finance,"$34,634.00 "
62650,5XYKT4A65CG235891,K28752A,"$17,686.00 ",2012,KIA,SORENTO,0,CHRYSLER CAPITAL,7/2/2015 0:00,New Vehicle,Finance,"$17,686.00 "
62656-3144,3C4PDCAB7JT384738,29861,"$25,584.00 ",2018,DODGE,JOURNEY (2.4L),75000,CEFCU,7/7/2018 0:00,New Vehicle,Finance,"$25,550.00 "
62704-1034,3GNFK16Z94G325772,23206B,"$14,110.62 ",2004,CHEVROLET TRUCK,SUBURBAN,0,AMERICREDIT FINANCIAL SERVICES INC,5/19/2012 0:00,Used Vehicle,Finance,"$14,110.62 "
62526,2B3CJ7DW5AH133482,27918A,"$26,990.00 ",2010,DODGE,CHALLENGER,36000,HEARTLAND CREDIT UNION,3/23/2018 0:00,Used Vehicle,Finance,"$29,990.00 "
