,MSRP,Year,Make,Model,Purchase Date,Sales Type,Purchase Type,Sale Price,Warranty Miles,Zipcode,Model Type
15242,"$25,933.00 ",2019,SUBARU,CROSSTREK,7/31/2019 0:00,New Vehicle,Cash,"$24,256.00 ",0,62711,COMPACT SUV
15243,"$28,990.00 ",2017,SUBARU,WRX,7/31/2019 0:00,Used Vehicle,Finance,"$25,987.00 ",0,62401,COMPACT SEDAN
15244,"$15,800.00 ",2015,OTHER,TAURUS,7/31/2019 0:00,Used Vehicle,Finance,"$15,800.00 ",0,62353,MID-SIZE SEDAN
15245,"$7,990.00 ",2001,OTHER,TRIBUTE,7/31/2019 0:00,Used Vehicle,Cash,"$3,500.00 ",0,62702,COMPACT SUV
15246,"$17,990.00 ",2014,RAM,1500,8/2/2019 0:00,Used Vehicle,Cash,"$17,990.00 ",0,62557,TRUCK
15247,"$40,790.00 ",2020,KIA,TELLURIDE,8/3/2019 0:00,New Vehicle,Lease,"$40,739.00 ",0,61761,SUV
15248,"$26,574.00 ",2019,KIA,NIRO,8/3/2019 0:00,New Vehicle,Finance,"$25,525.00 ",0,62690,COMPACT SUV
15249,"$30,640.00 ",2019,SUBARU,FORESTER,8/3/2019 0:00,New Vehicle,Finance,"$27,969.00 ",1,62704,COMPACT SUV
15250,"$10,990.00 ",2013,KIA,SPORTAGE,8/3/2019 0:00,Used Vehicle,Finance,"$9,300.00 ",1,62704,COMPACT SUV
15251,"$51,959.00 ",2019,RAM,1500 CLASSIC,8/5/2019 0:00,New Vehicle,Finance,"$48,459.00 ",1,62520,TRUCK
15252,"$75,015.00 ",2019,DODGE,CHARGER,8/7/2019 0:00,New Vehicle,Finance,"$75,015.00 ",1,62618,MID-SIZE SEDAN
15253,"$18,990.00 ",2014,SUBARU,OUTBACK,8/8/2019 0:00,Used Vehicle,Finance,"$17,411.00 ",1,62262,SUV
15254,"$19,999.00 ",2017,OTHER,ENCORE,8/8/2019 0:00,Used Vehicle,Finance,"$19,999.00 ",1,62530,COMPACT SUV
15255,"$31,834.00 ",2019,SUBARU,CROSSTREK,8/9/2019 0:00,New Vehicle,Cash,"$29,287.00 ",1,62704,COMPACT SUV
15256,"$39,924.00 ",2019,DODGE,CHARGER,10/14/2019 0:00,New Vehicle,Finance,"$38,690.00 ",0,47302,MID-SIZE SEDAN
15257,"$24,990.00 ",2019,KIA,SORENTO,10/14/2019 0:00,Used Vehicle,Finance,"$22,280.00 ",0,62558,SUV
15258,"$18,990.00 ",2019,KIA,OPTIMA,10/15/2019 0:00,Used Vehicle,Finance,"$16,499.00 ",1,62684,MID-SIZE SEDAN
15259,"$40,889.00 ",2020,KIA,TELLURIDE,10/15/2019 0:00,New Vehicle,Lease,"$40,889.00 ",0,62656,SUV
15260,"$42,760.00 ",2019,RAM,1500 CLASSIC,10/15/2019 0:00,New Vehicle,Finance,"$45,149.00 ",0,62563,TRUCK
15261,"$56,860.00 ",2019,RAM,3500,10/15/2019 0:00,New Vehicle,Cash,"$55,018.00 ",0,62515,TRUCK
15262,"$40,954.00 ",2020,KIA,TELLURIDE,10/16/2019 0:00,New Vehicle,Finance,"$40,954.00 ",1,62704,SUV
15263,"$30,901.00 ",2020,SUBARU,FORESTER,10/16/2019 0:00,New Vehicle,Cash,"$28,956.00 ",0,62661,COMPACT SUV
15264,"$66,060.00 ",2019,RAM,1500 (5.7L),10/16/2019 0:00,New Vehicle,Finance,"$60,060.00 ",0,62629,TRUCK
